# Session: Friday 2/27/2026 1:00-1:15 AM BTC 15 Minute
# Side: YES
# Rules: Entry ≤40¢  |  Take Profit ≥45¢  |  Stop Loss ≤10¢
# Ticker: KXBTC15M-26FEB270115-15
time,session,ticker,bid,ask,spread,mid,bid_qty,ask_qty,last,btc,strike,delta,chg_pct,evt
01:00:01,0:01,KXBTC15M-26FEB270115-15,51,88,37,69.5,10,3,—,67709.99,—,—,—,
01:00:01,0:01,KXBTC15M-26FEB270115-15,52,53,1,52.5,1,50,—,67709.99,—,—,—,
01:00:02,0:02,KXBTC15M-26FEB270115-15,52,53,1,52.5,1,50,50,67709.99,—,—,—,
01:00:02,0:02,KXBTC15M-26FEB270115-15,52,53,1,52.5,1,50,50,67712.93,—,—,—,
01:00:03,0:03,KXBTC15M-26FEB270115-15,52,53,1,52.5,1,50,50,67714.69,—,—,—,
01:00:03,0:03,KXBTC15M-26FEB270115-15,52,53,1,52.5,151,50,50,67716.17,—,—,—,
01:00:04,0:04,KXBTC15M-26FEB270115-15,52,53,1,52.5,151,50,50,67715.33,—,—,—,
01:00:04,0:04,KXBTC15M-26FEB270115-15,52,53,1,52.5,1,50,50,67714.69,—,—,—,
01:00:05,0:05,KXBTC15M-26FEB270115-15,52,53,1,52.5,1,50,50,67714.18,—,—,—,
01:00:05,0:05,KXBTC15M-26FEB270115-15,52,53,1,52.5,1,50,50,67713.78,—,—,—,
01:00:06,0:06,KXBTC15M-26FEB270115-15,52,53,1,52.5,1,5,50,67713.44,—,—,—,
01:00:06,0:06,KXBTC15M-26FEB270115-15,52,53,1,52.5,151,5,53,67713.17,—,—,—,
01:00:07,0:07,KXBTC15M-26FEB270115-15,52,53,1,52.5,151,5,53,67712.93,—,—,—,
01:00:07,0:07,KXBTC15M-26FEB270115-15,52,53,1,52.5,151,5,53,67712.72,—,—,—,
01:00:08,0:08,KXBTC15M-26FEB270115-15,52,53,1,52.5,89,5,53,67713.69,—,—,—,
01:00:08,0:08,KXBTC15M-26FEB270115-15,51,53,2,52.0,120,2,59,67714.55,—,—,—,
01:00:09,0:09,KXBTC15M-26FEB270115-15,52,53,1,52.5,89,2,59,67715.30,—,—,—,
